,Lat,Lon,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Frankfurt,50.1,8.675,0.0,0.04603740512295751,0.09207481024591502,0.13811221536887253,0.1841496204918318,0.23018702561478932,0.27622443073774683,0.32226183586070434,0.36829924098366185,0.41433664610661936,0.41004717967160964,0.4768986749182602,0.5136103187538748,0.555402099575792,0.6121315460163945,0.69618633492275,0.7888329102652172,0.8908459239638464,0.9614645555979511,0.9732338721635632,0.944290036547125,0.9510907214786304,0.9954078372807107,1.004031117466356,1.0247667339047108,1.0719989256855325,1.1603974697382302,1.2395350548868205,1.3073508083114778,1.377065876804627,1.4655464220697727,1.4271595588116899,1.4731969639346492,1.5192343690576067,1.5652717741805642,1.6113091793035217,1.6573465844264792,1.7033839895494367,1.7494213946723942,1.7954587997953535,1.841496204918311
Lisbon,38.7227,-9.1449,0.0,0.011656333794288543,0.023312667588577085,0.034969001382862075,0.04662533517715062,0.05828166897143916,0.0699380027657277,0.08159433656001269,0.09325067035430123,0.10490700414858978,0.09426965840099655,0.10722848578328126,0.1138949241394478,0.13513054057780494,0.16503559522261213,0.18432147178523195,0.21486530740166998,0.23170503342906557,0.22457846706930695,0.22542861303831785,0.22369299659996145,0.24351628427119465,0.272347465497333,0.29380467412073585,0.3147882357645706,0.30944303028511655,0.30584469582894513,0.3061045805508549,0.28923882712619786,0.29073129287962374,0.3256038640924501,0.36134634762291995,0.37300268141720494,0.3846590152114935,0.396315349005782,0.40797168280007057,0.41962801659435556,0.4312843503886441,0.44294068418293264,0.4545970179772212,0.4662533517715062
Katowice,50.2604,19.02,0.0,0.04451278717510121,0.08902557435020242,0.13353836152530363,0.17805114870040484,0.22256393587550605,0.26707672305060726,0.31158951022570847,0.3561022974008097,0.4006150845759109,0.46662062714330865,0.5507098422791739,0.5751714861147885,0.58080778748465,0.5835771246356369,0.6282115302797724,0.683843722060594,0.7770786535674432,0.8771750885550897,0.9023530303920548,0.8668057701180825,0.8736489208030136,0.9099659074786626,0.9280472777159563,0.9669253599077372,1.0396459078529432,1.157756219253498,1.2548028320239144,1.3289042018869264,1.4079357087362414,1.4816434674275865,1.3798964024281375,1.4244091896032387,1.46892197677834,1.5134347639534411,1.5579475511285423,1.6024603383036435,1.6469731254787447,1.691485912653846,1.7359986998289472,1.7805114870040484
Kyiv,50.4334,30.5166,0.0,0.06427149499900686,0.12854298999801284,0.1928144849970197,0.25708597999602567,0.32135747499503253,0.3856289699940394,0.44990046499304537,0.5141719599920522,0.5784434549910591,0.687689391458095,0.7667264245444034,0.7979236848183762,0.8034949176950876,0.8168936283021706,0.9049080923339083,0.9801259005530865,1.100980695073635,1.2566963530570172,1.2996633809034117,1.2968969425472485,1.3264154356979327,1.3617862475101932,1.42453240178821,1.4938289771306765,1.5561645935690303,1.6538493791068705,1.7642464934118331,1.8547944386173123,1.9182656714940256,2.031838676078812,1.9924163449692012,2.056687839968208,2.120959334967215,2.1852308299662218,2.2495023249652286,2.3137738199642337,2.3780453149632406,2.4423168099622474,2.5065883049612543,2.570859799960261
Vienna,48.2,16.3666,0.0,0.04358765417642374,0.08717530835284926,0.130762962529273,0.1743506167056985,0.21793827088212225,0.261525925058546,0.3051135792349715,0.34870123341139525,0.392288887587819,0.47797744436601697,0.538890037000197,0.5592811328906091,0.5809482561782797,0.5939278598162776,0.6312095182487933,0.6709780113994785,0.7443108881118068,0.8233953180841116,0.8518961864125796,0.8338838576454553,0.8500770083303859,0.8912758424497067,0.9163431697197115,0.9501041286238223,1.0046472793087542,1.1173888748623124,1.2305249909638167,1.3204318402788857,1.4116934841145028,1.506125990604291,1.3512172794691573,1.3948049336455828,1.4383925878220065,1.4819802419984303,1.5255678961748558,1.5691555503512795,1.612743204527705,1.6563308587041288,1.6999185128805525,1.743506167056978
Mannheim,49.5004,8.47,0.0,0.04183571190214508,0.08367142380428838,0.12550713570643346,0.16734284760857854,0.20917855951072184,0.2510142714128669,0.292849983315012,0.3346856952171553,0.3765214071193004,0.351825993776826,0.41964719296838204,0.4588882888587946,0.502943768310848,0.5621831762006622,0.6418787484740367,0.7278650498438974,0.8245903923096503,0.8879150330013186,0.8965067969806597,0.865389673692988,0.8672657010902487,0.9095760255905851,0.9129397747484571,0.9206308706388686,0.9631712815977718,1.04600524746348,1.1177912681237085,1.184764555794942,1.254148802370283,1.3416661670409216,1.2969070689664797,1.338742780868623,1.380578492770768,1.4224142046729131,1.4642499165750564,1.5060856284772015,1.5479213403793466,1.58975705228149,1.631592764183635,1.67342847608578
Birmingham,52.475,-1.92,0.0,0.03200592745618813,0.06401185491237626,0.0960177823685644,0.12802370982475253,0.16002963728093889,0.19203556473712702,0.22404149219331515,0.2560474196495033,0.2880533471056914,0.2469044094094368,0.2947833898720482,0.33594503370766304,0.3698799652145137,0.40565518416802604,0.4695447866831852,0.569473553806473,0.6653290332585282,0.713291522965843,0.7161553825361686,0.6706464784265798,0.6721499030841116,0.7143102444270273,0.7244959282356938,0.7554815446740513,0.7768534624822685,0.807802496841127,0.8443022161314939,0.861271394213686,0.8680357777753294,0.9017912196764932,0.992183751141825,1.0241896785980131,1.0561956060542013,1.0882015335103894,1.1202074609665775,1.1522133884227657,1.184219315878952,1.2162252433351401,1.2482311707913283,1.2802370982475164
Naples,40.84,14.245,0.0,0.029053709313988207,0.058107418627976415,0.08716112794196462,0.11621483725595283,0.14526854656994104,0.1743222558839257,0.2033759651979139,0.2324296745119021,0.2614833838258903,0.2520036269105823,0.324408612313686,0.35797573560135376,0.39102231094382134,0.44641972654379103,0.4687842654314345,0.47058700515745855,0.491760977760201,0.5163410118196374,0.5456121417694781,0.5646484431393439,0.5884724157420855,0.6268242497116923,0.6520390973799302,0.6689281384758239,0.7020630699826711,0.7587594637995743,0.7944195562466128,0.8323668165205866,0.8775099672055156,0.916543421045926,0.9006649887336238,0.929718698047612,0.9587724073616002,0.9878261166755884,1.0168798259895766,1.0459335353035648,1.0749872446175495,1.1040409539315377,1.1330946632455259,1.162148372559514
Manchester,53.5004,-2.248,0.0,0.0311657965230836,0.0623315930461672,0.09349738956925258,0.12466318609233618,0.15582898261541978,0.18699477913850338,0.21816057566158698,0.24932637218467057,0.28049216870775595,0.24647120590325855,0.29182476343001973,0.32967681822453976,0.3586199689094709,0.38995738188948614,0.44916191815717,0.5439317811708673,0.6404324661023768,0.6914552559818574,0.6981116075051759,0.6612376349024363,0.6618944842175036,0.6975379418116336,0.7074807144742596,0.7425409884468603,0.7633266048852185,0.7893451298496625,0.8219047507045172,0.8329424219373927,0.8368068054990356,0.8635331530418782,0.9661396922156005,0.9973054887386841,1.0284712852617695,1.059637081784853,1.0908028783079367,1.1219686748310203,1.1531344713541039,1.1843002678771892,1.2154660644002728,1.2466318609233564
Bucharest,44.4334,26.0999,0.0,0.05271343869583056,0.10542687739165935,0.1581403160874899,0.21085375478332047,0.26356719347915103,0.3162806321749798,0.3689940708708104,0.42170750956664094,0.4744209482624697,0.5178841597973687,0.6161288019861537,0.6719685280135508,0.6904363362327306,0.7000699895750451,0.7436851497666765,0.7903036429173618,0.8777611771639364,0.9913519904733157,1.051872255837491,1.06992225583749,1.1040749955635185,1.1586775088504417,1.2258656385757192,1.2529916659729814,1.274418378301748,1.353879870554163,1.4299043765052062,1.4930550614367135,1.5439893080120566,1.6396923837837143,1.6341165995707314,1.686830038266562,1.7395434769623908,1.7922569156582213,1.8449703543540519,1.8976837930498824,1.9503972317457112,2.003110670441542,2.0558241091373723,2.108537547833201
